"동별(1)",동별(2),동별(3),2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",성북구,길음1동,12436,34907,16503,18404,34756,16443,18313,151,60,91
"합계",성북구,길음2동,8688,21882,10499,11383,21736,10429,11307,146,70,76
"합계",성북구,월곡1동,10850,26107,12558,13549,25887,12486,13401,220,72,148
"합계",성북구,월곡2동,9754,19774,9398,10376,19181,9159,10022,593,239,354
"합계",성북구,장위1동,10698,24006,11654,12352,23791,11571,12220,215,83,132
"합계",성북구,장위2동,6635,13554,6625,6929,13318,6533,6785,236,92,144
"합계",성북구,장위3동,6529,15932,7804,8128,15786,7736,8050,146,68,78
"합계",성북구,성북동,8177,16793,7780,9013,16156,7507,8649,637,273,364
"합계",성북구,삼선동,11533,23108,10858,12250,22489,10675,11814,619,183,436
"합계",성북구,동선동,9609,15914,6471,9443,15027,6207,8820,887,264,623
"합계",성북구,종암동,17183,40020,19541,20479,38054,18818,19236,1966,723,1243
"합계",성북구,석관동,16785,35174,17315,17859,34286,16919,17367,888,396,492
"합계",강북구,소계,144559,296635,143330,153305,292383,141837,150546,4252,1493,2759
"합계",강북구,번1동,10416,18549,9230,9319,18034,9047,8987,515,183,332
"합계",강북구,번2동,7488,15276,7344,7932,15190,7318,7872,86,26,60
"합계",강북구,번3동,7539,16431,7649,8782,16364,7632,8732,67,17,50
"합계",강북구,수유1동,10491,20463,9995,10468,20195,9903,10292,268,92,176
"합계",강북구,수유2동,9869,20973,9931,11042,20803,9882,10921,170,49,121
"합계",강북구,수유3동,13474,23852,11606,12246,23028,11345,11683,824,261,563
"합계",강북구,삼양동,10903,22976,11416,11560,22787,11351,11436,189,65,124
"합계",강북구,미아동,11710,21684,10319,11365,21107,10118,10989,577,201,376
"합계",강북구,송중동,13986,29719,14288,15431,29088,14037,15051,631,251,380
"합계",강북구,송천동,13301,25801,12745,13056,25377,12573,12804,424,172,252
"합계",강북구,삼각산동,11511,30872,14799,16073,30761,14751,16010,111,48,63
"합계",강북구,우이동,9603,20296,9716,10580,20124,9656,10468,172,60,112
"합계",강북구,인수동,14268,29743,14292,15451,29525,14224,15301,218,68,150
"합계",도봉구,소계,138314,312362,151319,161043,310023,150535,159488,2339,784,1555
"합계",도봉구,쌍문1동,9455,21350,10084,11266,20912,10011,10901,438,73,365
"합계",도봉구,쌍문2동,8555,18371,8761,9610,18231,8691,9540,140,70,70
"합계",도봉구,쌍문3동,8242,16845,8076,8769,16681,8021,8660,164,55,109
"합계",도봉구,쌍문4동,7098,18313,8623,9690,18262,8617,9645,51,6,45
"합계",도봉구,방학1동,12956,28304,14000,14304,28059,13907,14152,245,93,152
"합계",도봉구,방학2동,9244,19139,9658,9481,18943,9571,9372,196,87,109
"합계",도봉구,방학3동,9931,26451,12790,13661,26385,12771,13614,66,19,47
"합계",도봉구,창1동,10984,24387,11596,12791,24239,11542,12697,148,54,94
"합계",도봉구,창2동,12582,28770,13948,14822,28482,13841,14641,288,107,181
"합계",도봉구,창3동,6453,13490,6712,6778,13392,6677,6715,98,35,63
"합계",도봉구,창4동,10549,26023,12471,13552,25919,12431,13488,104,40,64
"합계",도봉구,창5동,10281,24211,11567,12644,24090,11530,12560,121,37,84
"합계",도봉구,도봉1동,10261,20482,10225,10257,20335,10171,10164,147,54,93
"합계",도봉구,도봉2동,11723,26226,12808,13418,26093,12754,13339,133,54,79
"합계",노원구,소계,218262,506359,243092,263267,501838,241168,260670,4521,1924,2597
"합계",노원구,월계1동,10059,21519,11040,10479,20842,10710,10132,677,330,347
"합계",노원구,월계2동,11794,26023,12481,13542,25882,12428,13454,141,53,88
"합계",노원구,월계3동,12897,29199,13950,15249,29030,13889,15141,169,61,108
"합계",노원구,공릉2동,17815,42636,20694,21942,41777,20349,21428,859,345,514
"합계",노원구,하계1동,12662,27528,13203,14325,26942,12936,14006,586,267,319
"합계",노원구,하계2동,8176,21499,10203,11296,21445,10181,11264,54,22,32
"합계",노원구,중계본동,8173,23241,11282,11959,23182,11261,11921,59,21,38
"합계",노원구,중계1동,8921,26525,12936,13589,26427,12902,13525,98,34,64
"합계",노원구,중계4동,8241,19515,9373,10142,19412,9305,10107,103,68,35
"합계",노원구,상계1동,15643,37623,18122,19501,37470,18069,19401,153,53,100
"합계",노원구,상계2동,8610,19587,9634,9953,19427,9566,9861,160,68,92
"합계",노원구,상계5동,10962,23551,11387,12164,23413,11341,12072,138,46,92
"합계",노원구,상계8동,9144,22197,10583,11614,22148,10571,11577,49,12,37
"합계",노원구,상계9동,8337,19975,9335,10640,19885,9306,10579,90,29,61
"합계",노원구,상계10동,7630,18349,8446,9903,18289,8423,9866,60,23,37
"합계",노원구,상계3.4동,11605,25169,12537,12632,25050,12499,12551,119,38,81
"합계",노원구,상계6.7동,13901,31990,14757,17233,31849,14706,17143,141,51,90
"합계",노원구,중계2.3동,15079,33198,15174,18024,33067,15133,17934,131,41,90
"합계",노원구,공릉1동,18613,37035,17955,19080,36301,17593,18708,734,362,372
"합계",은평구,소계,213907,468157,222479,245678,464217,220904,243313,3940,1575,2365
"합계",은평구,녹번동,17654,36740,17263,19477,36363,17093,19270,377,170,207
"합계",은평구,불광1동,17766,38054,17855,20199,37780,17744,20036,274,111,163
"합계",은평구,갈현1동,7633,15233,7406,7827,15080,7340,7740,153,66,87
"합계",은평구,갈현2동,12589,28012,13204,14808,27752,13103,14649,260,101,159
"합계",은평구,구산동,13522,31947,15537,16410,31731,15448,16283,216,89,127
"합계",은평구,대조동,15162,27656,12777,14879,27312,12646,14666,344,131,213
"합계",은평구,응암1동,15120,33263,15584,17679,32942,15457,17485,321,127,194
"합계",은평구,응암2동,11211,27880,13458,14422,27681,13372,14309,199,86,113
"합계",은평구,신사1동,12034,26936,12912,14024,26733,12843,13890,203,69,134
"합계",은평구,신사2동,8761,19350,9590,9760,19208,9546,9662,142,44,98
"합계",은평구,증산동,8027,18646,9076,9570,18495,9006,9489,151,70,81
"합계",은평구,수색동,5583,13229,6441,6788,13149,6409,6740,80,32,48
